starttime	seconds	ctime	dtime	ttime	wait
Wed May 27 07:20:15 2026	1779866415	0	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	1
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	1
Wed May 27 07:20:15 2026	1779866415	0	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:14 2026	1779866414	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	1
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	1	0	1	0
Wed May 27 07:20:14 2026	1779866414	0	1	1	0
Wed May 27 07:20:15 2026	1779866415	0	1	1	0
