tag,bs,mode,local_rss_kB,stub_rss_kB,skmem_B
svm_z0_64k,64k,svm,875340,27600,0
svm_z0_64k,64k,svm,879456,32616,26496
svm_z0_64k,64k,svm,881420,34060,13248
svm_z0_64k,64k,svm,881424,34344,158528
svm_z0_64k,64k,svm,881424,34404,0
svm_z0_64k,64k,svm,881496,34404,0
svm_z0_64k,64k,svm,881496,34404,87936
svm_z0_64k,64k,svm,881496,34404,22400
svm_z0_64k,64k,svm,881496,34404,78784
svm_z0_64k,64k,svm,881496,34404,13248
svm_z0_64k,64k,svm,881496,34404,0
svm_z0_64k,64k,svm,881496,34404,78784
svm_z0_64k,64k,svm,881496,34404,0
svm_z0_64k,64k,svm,881496,34404,9152
svm_z0_64k,64k,svm,881496,34408,13248
svm_z0_64k,64k,svm,881496,34408,22400
svm_z0_64k,64k,svm,881496,34408,0
svm_z0_64k,64k,svm,881496,34408,13248
svm_z0_64k,64k,svm,881528,34408,0
svm_z0_64k,64k,svm,881528,34408,70592
svm_z0_64k,64k,svm,881528,34408,13248
svm_z0_64k,64k,svm,881528,34408,13248
svm_z0_64k,64k,svm,881528,34408,26496
svm_z0_64k,64k,svm,881528,34400,13248
svm_z0_64k,64k,svm,881528,34400,78784
svm_z0_64k,64k,svm,881528,34400,13248
svm_z0_64k,64k,svm,881504,34400,150336
svm_z0_64k,64k,svm,881504,34400,71552
svm_z0_64k,64k,svm,881504,34400,92032
svm_z0_64k,64k,svm,881504,34400,22400
svm_z0_64k,64k,svm,881504,34400,92032
svm_z0_64k,64k,svm,881504,34400,22400
svm_z0_64k,64k,svm,881504,34400,0
svm_z0_64k,64k,svm,881504,34400,9152
svm_z0_64k,64k,svm,881504,34400,0
svm_z0_64k,64k,svm,881504,34400,0
svm_z0_64k,64k,svm,881480,34392,78784
svm_z0_64k,64k,svm,881480,34392,0
svm_z0_64k,64k,svm,881480,34392,13248
svm_z0_64k,64k,svm,881480,34392,0
svm_z0_64k,64k,svm,881480,34384,88896
svm_z0_64k,64k,svm,881480,34384,0
svm_z0_64k,64k,svm,881480,34384,70592
svm_z0_64k,64k,svm,881484,34512,157568
svm_z0_64k,64k,svm,881484,34568,158528
svm_z0_64k,64k,svm,881484,34568,78784
svm_z0_64k,64k,svm,881484,34572,0
svm_z0_64k,64k,svm,881484,34572,9152
svm_z0_64k,64k,svm,881484,34572,13248
svm_z0_64k,64k,svm,881484,34572,92992
svm_z0_64k,64k,svm,881484,34572,80704
svm_z0_64k,64k,svm,881484,34572,78784
svm_z0_64k,64k,svm,881484,34572,150336
svm_z0_64k,64k,svm,881492,34812,0
svm_z0_64k,64k,svm,881492,34812,0
svm_z0_64k,64k,svm,881492,34812,0
svm_z0_64k,64k,svm,881492,34812,0
svm_z0_64k,64k,svm,881492,34812,0
svm_z0_64k,64k,svm,881492,34812,0
svm_z0_64k,64k,svm,881492,34812,0
svm_z0_512k,512k,svm,893388,28824,70592
svm_z0_512k,512k,svm,894604,30996,234176
svm_z0_512k,512k,svm,895892,32644,592192
svm_z0_512k,512k,svm,897384,33248,211776
svm_z0_512k,512k,svm,899384,35120,22400
svm_z0_512k,512k,svm,899384,35464,13248
svm_z0_512k,512k,svm,899384,35784,13248
svm_z0_512k,512k,svm,899384,35464,9152
svm_z0_512k,512k,svm,899384,35464,22400
svm_z0_512k,512k,svm,899384,35464,13248
svm_z0_512k,512k,svm,899384,35464,78784
svm_z0_512k,512k,svm,899384,35032,13248
svm_z0_512k,512k,svm,899384,35464,13248
svm_z0_512k,512k,svm,899384,35464,564736
