Macro-B 四协议同日背靠背汇总 (txn/s 3次 / 中位)
protocol thr       r1       r2       r3      med   vsKVM
kvm        1    240.0    168.2    227.2    227.2       -
kvm        2    298.7    314.7    328.3    314.7       -
kvm        4    446.3    444.0    400.3    444.0       -
svm        1    185.6    121.7    183.9    183.9    -19%
svm        2    252.2    186.6    197.1    197.1    -37%
svm        4    248.5    275.8    316.5    275.8    -38%
nvmeof     1    158.3    161.4    110.6    158.3    -30%
nvmeof     2    221.5    217.6    176.3    217.6    -31%
nvmeof     4    273.8    290.6    222.9    273.8    -38%
iscsi      1    109.3    119.4    132.4    119.4    -47%
iscsi      2    171.6    216.9    216.9    216.9    -31%
iscsi      4    249.5    236.7    264.2    249.5    -44%
